Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26	Long	2025-12-18  07:53:09.255	2025-12-18  08:13:20.391	25092.50	25104.75	1	8	4	240.80	3010.80	AT_NQ_TM(D-R-2+last50)	5	7	00:20:11	4.20	25104.75	25091.50	14.4%	24.0%	5151.80	6075.00	-740.00	245.00	-20.00	3.5%	V_sim16	4012.80	-2788.20	6801.00	-3230.60
NQH26	Long	2025-12-18  07:53:09.255	2025-12-18  08:15:11.696	25092.50	25110.50	1	8	5	355.80	3366.60	AT_NQ_TM(D-R-2+last50)	5	6	00:22:02	4.20	25110.50	25091.50	15.5%	24.0%	5507.60	6435.00	-760.00	360.00	-20.00	4.9%	V_sim16	4012.80	-2788.20	6801.00	-3230.60
NQH26	Long	2025-12-18  08:10:24.341	2025-12-18  08:17:36.607	25091.50	25110.25	1	8	6	370.80	3737.40	AT_NQ_TM(D-R-2+last50)	8	5	00:07:12	4.20	25119.75	25091.50	14.6%	25.2%	5878.40	7000.00	-760.00	565.00	0.00	4.8%	V_sim16	4012.80	-2788.20	6801.00	-3230.60
NQH26	Long	2025-12-18  08:10:24.341	2025-12-18  08:21:00.066	25091.50	25100.00	2	8	8	331.60	4069.00	AT_NQ_TM(D-R-2+last50)	8	3	00:10:35	8.40	25119.75	25091.50	12.3%	25.2%	6210.00	8130.00	-760.00	1130.00	0.00	3.7%	V_sim16	4069.00	-2788.20	6857.20	-3230.60
NQH26	Long	2025-12-18  08:12:21.379	2025-12-18  08:21:00.066	25099.75	25100.00	1	8	6	0.80	4069.80	AT_NQ_TM(D-R-2+last50)	8	2	00:08:38	4.20	25119.75	25099.00	0.7%	15.1%	6210.80	7800.00	-55.00	400.00	-15.00	0.0%	V_sim16	4069.80	-2788.20	6858.00	-3230.60
NQH26	Long	2025-12-18  08:12:21.379	2025-12-18  08:38:08.488	25099.75	25193.00	1	8	7	1860.80	5930.60	AT_NQ_TM(D-R-2+last50)	8	7	00:25:47	4.20	25193.00	25099.00	19.8%	15.1%	8071.60	9665.00	-70.00	1865.00	-15.00	19.1%	V_sim16	5930.60	-2788.20	8718.80	-3230.60
NQH26	Long	2025-12-18  08:12:21.379	2025-12-18  08:38:31.361	25099.75	25201.25	1	8	8	2025.80	7956.40	AT_NQ_TM(D-R-2+last50)	8	6	00:26:09	4.20	25201.25	25099.00	17.9%	15.1%	10097.40	11695.00	-85.00	2030.00	-15.00	17.2%	V_sim16	7956.40	-2788.20	10744.60	-3230.60
NQH26	Long	2025-12-18  08:24:11.559	2025-12-18  08:38:56.863	25111.75	25209.75	1	8	3	1955.80	9912.20	AT_NQ_TM(D-R-2+last50)	5	5	00:14:45	4.20	25218.00	25111.75	15.9%	9.0%	12053.20	12445.00	-30.00	2125.00	0.00	15.7%	V_sim16	9912.20	-2788.20	12700.40	-3230.60
NQH26	Long	2025-12-18  08:24:11.559	2025-12-18  08:40:12.543	25111.75	25226.00	1	8	4	2280.80	12193.00	AT_NQ_TM(D-R-2+last50)	5	7	00:16:00	4.20	25226.00	25111.75	15.7%	9.0%	14334.00	14730.00	-30.00	2285.00	0.00	15.5%	V_sim16	12193.00	-2788.20	14981.20	-3230.60
NQH26	Long	2025-12-18  08:24:11.559	2025-12-18  08:40:18.573	25111.75	25235.00	1	8	5	2460.80	14653.80	AT_NQ_TM(D-R-2+last50)	5	6	00:16:07	4.20	25235.00	25111.75	14.5%	9.0%	16794.80	17195.00	-30.00	2465.00	0.00	14.3%	V_sim16	14653.80	-2788.20	17442.00	-3230.60
NQH26	Long	2025-12-18  08:37:28.589	2025-12-18  08:40:39.558	25186.25	25230.25	1	8	6	875.80	15529.60	AT_NQ_TM(D-R-2+last50)	8	5	00:03:10	4.20	25238.75	25181.00	5.5%	0.0%	17670.60	18245.00	-135.00	1050.00	-105.00	4.8%	V_sim16	15529.60	-2788.20	18317.80	-3230.60
NQH26	Long	2025-12-18  08:37:28.589	2025-12-18  08:44:19.518	25186.25	25253.25	1	8	7	1335.80	16865.40	AT_NQ_TM(D-R-2+last50)	8	7	00:06:50	4.20	25253.25	25181.00	7.9%	0.0%	19006.40	19585.00	-240.00	1340.00	-105.00	6.7%	V_sim16	16865.40	-2788.20	19653.60	-3230.60
NQH26	Long	2025-12-18  08:37:28.589	2025-12-18  08:44:36.723	25186.25	25246.25	1	8	8	1195.80	18061.20	AT_NQ_TM(D-R-2+last50)	8	6	00:07:08	4.20	25253.50	25181.00	7.2%	0.0%	20202.20	20930.00	-345.00	1345.00	-105.00	5.6%	V_sim16	18061.20	-2788.20	20849.40	-3230.60
NQH26	Long	2025-12-18  08:39:42.866	2025-12-18  08:44:36.723	25219.00	25246.25	1	8	6	540.80	18602.00	AT_NQ_TM(D-R-2+last50)	8	5	00:04:53	4.20	25253.50	25215.00	4.3%	0.0%	20743.00	21455.00	-395.00	690.00	-80.00	2.5%	V_sim16	18602.00	-2788.20	21390.20	-3230.60
