2025-12-18  13:12:20.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:12:20.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:12:20.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:15:10.8 | Orders     | Trailing Stop | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:17:35.7 | Orders     | Limit      | Q:1   | S:Open       | ID:36786106   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:17:35.7 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786106   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:17:35.7 | Orders     | Trailing Stop | Q:1   | S:Pending Cancel | ID:36786150   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:17:36.0 | Orders     |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  13:20:59.5 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:20:59.8 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:20:59.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:20:59.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:20:59.8 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:24:10.5 | Orders     | Limit      | Q:1   | S:Open       | ID:36786288   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:24:10.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786288   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:24:10.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786289   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:24:10.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786290   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:37:27.4 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:37:27.6 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:37:27.6 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:37:27.6 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:37:27.6 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:30.5 | Orders     | Trailing Stop | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:56.1 | Orders     | Limit      | Q:1   | S:Open       | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:56.1 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:56.1 | Orders     | Trailing Stop | Q:1   | S:Pending Cancel | ID:36787478   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:56.5 | Orders     | Limit      | Q:1   | S:Open       | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:38:56.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:39:41.6 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:39:41.9 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:39:41.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:39:41.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
