ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2025-12-18  02:15:24.274715	2025-12-18  02:15:24.274714	36782528	Limit	1	Open	V_sim16	Sell	25073.25				AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091359	Close	Y	NQH26					0.00	36782528	20091359.88060	Good till Canceled	shimishon
Orders	2025-12-18  02:18:14.172411	2025-12-18  02:18:14.172408	36782526	Limit	1	Filled	V_sim16	Sell	25030.75		25030.75	1	AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25030.00 Ask: 25030.75 Last: 25030.75. Fill based on queue. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091357	Close	Y	NQH26		36782526.1			0.00	36782526	20091357.29885	Good till Canceled	shimishon
Positions	2025-12-18  02:18:14.172418	00:00:00.000000			1	Unspecified	V_sim16							2	Updated Internal Position Quantity to 2. Previous: 3. Fill of InternalOrderID: 20091357			N	NQH26					0.00				
Fills	2025-12-18  02:18:14.172421	2025-12-18  02:18:14.374000	36782526	Limit	1	Filled	V_sim16	Sell	25030.75		25030.75	1	AT_NQ_TM(D-R-2+last50)	2	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25030.00 Ask: 25030.75 Last: 25030.75. Fill based on queue. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091357	Close	Y	NQH26		36782526.1	25030.75	25018.25	0.00	36782526	20091357.29885	Good till Canceled	shimishon
Positions	2025-12-18  02:18:14.251985	00:00:00.000000				Unspecified	V_sim16							2	Updated Service Position Quantity to 2			N	NQH26					0.00				
Orders	2025-12-18  02:18:14.300074	2025-12-18  02:18:14.300071	36782525	Stop Limit	3	Pending Modify	V_sim16	Sell	25014.25	25004.25			AT_NQ_TM(D-R-2+last50)	2	Auto-trade order modification: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3. Requested Price: 25026.25. Requested Quantity: 2	20091356	Close	Y	NQH26					0.00	36782525	20091356.20915	Good till Canceled	shimishon
Orders	2025-12-18  02:18:14.534882	2025-12-18  02:18:14.534875	36782525	Stop Limit	2	Open	V_sim16	Sell	25026.25	25016.25			AT_NQ_TM(D-R-2+last50)	2	Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091356	Close	Y	NQH26					0.00	36782525	20091356.20915	Good till Canceled	shimishon
Orders	2025-12-18  02:18:56.051079	2025-12-18  02:18:56.051069	36782525	Stop Limit	2	Filled	V_sim16	Sell	25026.25	25016.25	25026.25	2	AT_NQ_TM(D-R-2+last50)	2	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25026.25 Ask: 25027.00 Last: 25026.25. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091356	Close	Y	NQH26		36782525.1			0.00	36782525	20091356.20915	Good till Canceled	shimishon
Positions	2025-12-18  02:18:56.051104	00:00:00.000000			2	Unspecified	V_sim16								Updated Internal Position Quantity to 0. Previous: 2. Fill of InternalOrderID: 20091356			N	NQH26					0.00				
Fills	2025-12-18  02:18:56.051109	2025-12-18  02:18:56.257000	36782525	Stop Limit	2	Filled	V_sim16	Sell	25026.25	25016.25	25026.25	2	AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25026.25 Ask: 25027.00 Last: 25026.25. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091356	Close	Y	NQH26		36782525.1	25031.50	25026.25	0.00	36782525	20091356.20915	Good till Canceled	shimishon
