06:43:20.057    | BUY   | OPEN   | 1    | 25089.00 | SC_45_ENTRY(1)                      | FIFO_84_ENTRY(1)                    | 1          | No    
06:43:42.101    | BUY   | OPEN   | 1    | 25084.50 | SC_46_ENTRY(1)                      | FIFO_85_ENTRY(1)                    | 2          | No    
07:05:05.035    | SELL  | CLOSE  | 1    | 25111.25 | SC_46_EXIT(1)                       | FIFO_87_EXIT(1)                     | 5          | No    
07:43:40.336    | SELL  | CLOSE  | 1    | 25105.25 | SC_49_EXIT(1)                       | FIFO_89_EXIT(1)                     | 5          | No    
07:52:35.110    | BUY   | OPEN   | 1    | 25088.50 | SC_56_ENTRY(1)                      | FIFO_92_ENTRY(1)                    | 1          | No    
08:10:30.505    | SELL  | CLOSE  | 1    | 25096.50 | SC_54_EXIT(1)                       | FIFO_92_EXIT(1)                     | 5          | No    
08:13:19.360    | SELL  | CLOSE  | 1    | 25104.75 | SC_57_EXIT(1)                       | FIFO_94_EXIT(1)                     | 5          | No    
08:15:10.770    | SELL  | CLOSE  | 1    | 25110.50 | SC_58_EXIT(1)                       | FIFO_95_EXIT(1)                     | 4          | No    
08:38:07.502    | SELL  | CLOSE  | 1    | 25193.00 | SC_62_EXIT(1)                       | FIFO_98_EXIT(1)                     | 5          | No    
08:38:30.382    | SELL  | CLOSE  | 1    | 25201.25 | SC_63_EXIT(1)                       | FIFO_99_EXIT(1)                     | 4          | No    
08:40:11.564    | SELL  | CLOSE  | 1    | 25226.00 | SC_65_EXIT(1)                       | FIFO_101_EXIT(1)                    | 5          | No    
08:40:17.563    | SELL  | CLOSE  | 1    | 25235.00 | SC_66_EXIT(1)                       | FIFO_102_EXIT(1)                    | 4          | No    
08:44:18.457    | SELL  | CLOSE  | 1    | 25253.25 | SC_68_EXIT(1)                       | FIFO_104_EXIT(1)                    | 5          | No    
08:53:19.954    | BUY   | OPEN   | 1    | 25225.00 | SC_74_ENTRY(1)                      | FIFO_107_ENTRY(1)                   | 1          | No    
10:24:48.641    | SELL  | CLOSE  | 1    | 25278.50 | SC_75_EXIT(1)                       | FIFO_109_EXIT(1)                    | 5          | No    
10:26:14.350    | SELL  | CLOSE  | 1    | 25297.25 | SC_76_EXIT(1)                       | FIFO_110_EXIT(1)                    | 4          | No    
11:11:49.857    | SELL  | CLOSE  | 1    | 25405.25 | SC_80_EXIT(1)                       | FIFO_113_EXIT(1)                    | 5          | No    
11:36:47.733    | SELL  | CLOSE  | 1    | 25398.00 | SC_83_EXIT(1)                       | FIFO_115_EXIT(1)                    | 5          | No    
12:01:52.307    | BUY   | OPEN   | 1    | 25368.50 | SC_93_ENTRY(1)                      | FIFO_120_ENTRY(1)                   | 1          | No    
12:04:12.786    | BUY   | OPEN   | 1    | 25356.50 | SC_94_ENTRY(1)                      | FIFO_121_ENTRY(1)                   | 2          | No    
12:08:58.919    | BUY   | OPEN   | 1    | 25270.00 | SC_96_ENTRY(1)                      | FIFO_123_ENTRY(1)                   | 1          | No    
12:09:34.444    | BUY   | OPEN   | 1    | 25257.25 | SC_97_ENTRY(1)                      | FIFO_124_ENTRY(1)                   | 2          | No    
13:44:59.553    | BUY   | OPEN   | 1    | 25369.25 | SC_103_ENTRY(1)                     | FIFO_128_ENTRY(1)                   | 1          | No    
13:46:49.187    | BUY   | OPEN   | 1    | 25354.75 | SC_104_ENTRY(1)                     | FIFO_129_ENTRY(1)                   | 2          | No    
14:55:09.088    | BUY   | OPEN   | 1    | 25216.50 | SC_115_ENTRY(1)                     | FIFO_135_ENTRY(1)                   | 1          | No    
15:13:19.755    | SELL  | CLOSE  | 1    | 25288.75 | SC_113_EXIT(1)                      | FIFO_135_EXIT(1)                    | 5          | No    
15:16:00.816    | SELL  | CLOSE  | 1    | 25300.75 | SC_114_EXIT(1)                      | FIFO_136_EXIT(1)                    | 4          | No    
15:25:10.416    | SELL  | CLOSE  | 1    | 25311.00 | SC_116_EXIT(1)                      | FIFO_138_EXIT(1)                    | 5          | No    
15:35:00.217    | SELL  | CLOSE  | 1    | 25324.75 | SC_119_EXIT(1)                      | FIFO_140_EXIT(1)                    | 5          | No    
15:55:00.342    | BUY   | OPEN   | 1    | 25285.50 | SC_125_ENTRY(1)                     | FIFO_143_ENTRY(1)                   | 1          | No    
15:58:23.826    | BUY   | OPEN   | 1    | 25272.50 | SC_126_ENTRY(1)                     | FIFO_144_ENTRY(1)                   | 2          | No    
16:55:05.800    | SELL  | CLOSE  | 1    | 25218.00 | SC_129_EXIT(1)                      | FIFO_147_EXIT(1)                    | 5          | No    
16:58:58.352    | SELL  | GHOST  | 2    | 25218.25 | SC_130_EXIT(1), SC_131_EXIT(1)      |                                     | 5          | Yes   
