#   | UTC Time                  | NY Time    | Side  | Qty | PrePos | PostPos | OID          | Status
------------------------------------------------------------------------------------------------------------------------
162 | 2025-12-18T16:36:47.733   | 11:36:47   | SELL  |   1 |    -11 |     -12 | 36822185.1   | OVER! net=-12
163 | 2025-12-18T16:39:44.384   | 11:39:44   | SELL  |   2 |    -12 |     -14 | 36822184.1   | OVER! net=-14
164 | 2025-12-18T16:51:05.009   | 11:51:05   | SELL  |   3 |    -14 |     -17 | 36823627.1   | OVER! net=-17
165 | 2025-12-18T16:52:34.873   | 11:52:34   | BUY   |   3 |    -17 |     -14 | 36823635.1   | OVER! net=-14
166 | 2025-12-18T16:54:13.483   | 11:54:13   | BUY   |   3 |    -14 |     -11 | 36823945.1   | OVER! net=-11
167 | 2025-12-18T16:56:43.849   | 11:56:43   | SELL  |   3 |    -11 |     -14 | 36823946.1   | OVER! net=-14
168 | 2025-12-18T17:00:17.569   | 12:00:17   | SELL  |   3 |    -14 |     -17 | 36824655.1   | OVER! net=-17
169 | 2025-12-18T17:01:52.307   | 12:01:52   | SELL  |   1 |    -17 |     -18 | 36824666.1   | OVER! net=-18
170 | 2025-12-18T17:04:12.786   | 12:04:12   | SELL  |   1 |    -18 |     -19 | 36824667.1   | OVER! net=-19
171 | 2025-12-18T17:08:18.906   | 12:08:18   | SELL  |   1 |    -19 |     -20 | 36824668.1   | OVER! net=-20
172 | 2025-12-18T17:08:19.084   | 12:08:19   | BUY   |   3 |    -20 |     -17 | 36826116.1   | OVER! net=-17
173 | 2025-12-18T17:08:58.919   | 12:08:58   | BUY   |   1 |    -17 |     -16 | 36826125.1   | OVER! net=-16
174 | 2025-12-18T17:09:34.444   | 12:09:34   | BUY   |   1 |    -16 |     -15 | 36826126.1   | OVER! net=-15
175 | 2025-12-18T17:10:01.108   | 12:10:01   | BUY   |   1 |    -15 |     -14 | 36826383.1   | OVER! net=-14
176 | 2025-12-18T17:50:59.940   | 12:50:59   | BUY   |   3 |    -14 |     -11 | 36831838.1   | OVER! net=-11
177 | 2025-12-18T17:58:30.907   | 12:58:30   | BUY   |   3 |    -11 |      -8 | 36831839.1   | OVER! net=-8
178 | 2025-12-18T18:03:18.564   | 13:03:18   | SELL  |   3 |     -8 |     -11 | 36832729.1   | OVER! net=-11
179 | 2025-12-18T18:10:05.893   | 13:10:05   | BUY   |   3 |    -11 |      -8 | 36832730.1   | OVER! net=-8
180 | 2025-12-18T18:43:34.218   | 13:43:34   | SELL  |   3 |     -8 |     -11 | 36835416.1   | OVER! net=-11
181 | 2025-12-18T18:44:59.553   | 13:44:59   | BUY   |   1 |    -11 |     -10 | 36835426.1   | OVER! net=-10
182 | 2025-12-18T18:46:49.187   | 13:46:49   | SELL  |   1 |    -10 |     -11 | 36835427.1   | OVER! net=-11
183 | 2025-12-18T18:47:59.992   | 13:47:59   | BUY   |   1 |    -11 |     -10 | 36835644.1   | OVER! net=-10
184 | 2025-12-18T19:30:43.299   | 14:30:43   | SELL  |   3 |    -10 |     -13 | 36839305.1   | OVER! net=-13
185 | 2025-12-18T19:32:03.580   | 14:32:03   | SELL  |   3 |    -13 |     -16 | 36839306.1   | OVER! net=-16
186 | 2025-12-18T19:41:58.969   | 14:41:58   | SELL  |   3 |    -16 |     -19 | 36840342.1   | OVER! net=-19
187 | 2025-12-18T19:44:10.393   | 14:44:10   | SELL  |   3 |    -19 |     -22 | 36840347.1   | OVER! net=-22
188 | 2025-12-18T19:45:58.420   | 14:45:58   | SELL  |   3 |    -22 |     -25 | 36840597.1   | OVER! net=-25
189 | 2025-12-18T19:50:37.735   | 14:50:37   | BUY   |   3 |    -25 |     -22 | 36840602.1   | OVER! net=-22
190 | 2025-12-18T19:51:00.773   | 14:51:00   | SELL  |   3 |    -22 |     -25 | 36840934.1   | OVER! net=-25
191 | 2025-12-18T19:52:06.725   | 14:52:06   | SELL  |   3 |    -25 |     -28 | 36840935.1   | OVER! net=-28
192 | 2025-12-18T19:54:59.954   | 14:54:59   | BUY   |   3 |    -28 |     -25 | 36841248.1   | OVER! net=-25
193 | 2025-12-18T19:55:09.088   | 14:55:09   | BUY   |   1 |    -25 |     -24 | 36841253.1   | OVER! net=-24
194 | 2025-12-18T19:55:18.534   | 14:55:18   | BUY   |   2 |    -24 |     -22 | 36841252.1   | OVER! net=-22
195 | 2025-12-18T20:12:02.373   | 15:12:02   | SELL  |   3 |    -22 |     -25 | 36842690.1   | OVER! net=-25
196 | 2025-12-18T20:13:19.755   | 15:13:19   | SELL  |   1 |    -25 |     -26 | 36842692.1   | OVER! net=-26
197 | 2025-12-18T20:16:00.816   | 15:16:00   | SELL  |   1 |    -26 |     -27 | 36842693.1   | OVER! net=-27
198 | 2025-12-18T20:16:18.180   | 15:16:18   | SELL  |   1 |    -27 |     -28 | 36842963.1   | OVER! net=-28
199 | 2025-12-18T20:24:01.429   | 15:24:01   | BUY   |   3 |    -28 |     -25 | 36843483.1   | OVER! net=-25
200 | 2025-12-18T20:25:10.416   | 15:25:10   | BUY   |   1 |    -25 |     -24 | 36843485.1   | OVER! net=-24
201 | 2025-12-18T20:25:56.339   | 15:25:56   | SELL  |   2 |    -24 |     -26 | 36843484.1   | OVER! net=-26
202 | 2025-12-18T20:34:01.920   | 15:34:01   | BUY   |   3 |    -26 |     -23 | 36844060.1   | OVER! net=-23
203 | 2025-12-18T20:35:00.217   | 15:35:00   | SELL  |   1 |    -23 |     -24 | 36844062.1   | OVER! net=-24
204 | 2025-12-18T20:35:29.363   | 15:35:29   | SELL  |   2 |    -24 |     -26 | 36844061.1   | OVER! net=-26
205 | 2025-12-18T20:54:08.594   | 15:54:08   | SELL  |   3 |    -26 |     -29 | 36845848.1   | OVER! net=-29
206 | 2025-12-18T20:55:00.342   | 15:55:00   | BUY   |   1 |    -29 |     -28 | 36845852.1   | OVER! net=-28
207 | 2025-12-18T20:58:23.826   | 15:58:23   | SELL  |   1 |    -28 |     -29 | 36845853.1   | OVER! net=-29
208 | 2025-12-18T20:59:47.546   | 15:59:47   | BUY   |   1 |    -29 |     -28 | 36846238.1   | OVER! net=-28
209 | 2025-12-18T21:09:02.691   | 16:09:02   | SELL  |   3 |    -28 |     -31 | 36847428.1   | OVER! net=-31
210 | 2025-12-18T21:12:54.705   | 16:12:54   | SELL  |   3 |    -31 |     -34 | 36847438.1   | OVER! net=-34
211 | 2025-12-18T21:24:27.484   | 16:24:27   | BUY   |   3 |    -34 |     -31 | 36847924.1   | OVER! net=-31
212 | 2025-12-18T21:41:28.761   | 16:41:28   | SELL  |   3 |    -31 |     -34 | 36847925.1   | OVER! net=-34
213 | 2025-12-18T21:52:07.013   | 16:52:07   | BUY   |   3 |    -34 |     -31 | 36848585.1   | OVER! net=-31
214 | 2025-12-18T21:55:05.800   | 16:55:05   | SELL  |   1 |    -31 |     -32 | 36848589.1   | OVER! net=-32
215 | 2025-12-18T21:58:58.352   | 16:58:58   | SELL  |   2 |    -32 |     -34 | 36848783.1   | OVER! net=-34
216 | 2025-12-18T23:14:22.810   | 18:14:22   | SELL  |   3 |    -34 |     -37 | 36849076.1   | OVER! net=-37
217 | 2025-12-18T23:15:19.668   | 18:15:19   | BUY   |   1 |    -37 |     -36 | 36849078.1   | OVER! net=-36
218 | 2025-12-18T23:16:24.816   | 18:16:24   | BUY   |   1 |    -36 |     -35 | 36849079.1   | OVER! net=-35
219 | 2025-12-18T23:18:48.111   | 18:18:48   | BUY   |   1 |    -35 |     -34 | 36849122.1   | OVER! net=-34
220 | 2025-12-18T23:31:15.031   | 18:31:15   | BUY   |   3 |    -34 |     -31 | 36849216.1   | OVER! net=-31
221 | 2025-12-18T23:37:41.622   | 18:37:41   | SELL  |   1 |    -31 |     -32 | 36849226.1   | OVER! net=-32
222 | 2025-12-18T23:40:14.943   | 18:40:14   | BUY   |   1 |    -32 |     -31 | 36849227.1   | OVER! net=-31
