ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-01-19  21:59:28.168470	2026-01-19  21:59:28.168467	20524421	Stop Limit	2	Pending Cancel	3Q_sim14	Sell	59.0299987	58.9899987			AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Canceling orders for Flatten Position operation Flatten Position for symbol where trading has ended. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20480146	CLG26	Close		2				0.00	37538597	20480146.32830	Good till Canceled	shimishon	Y
Orders	2026-01-19  21:59:28.168483	2026-01-19  21:59:28.168482	20524421	Stop Limit	2	Canceled	3Q_sim14	Sell	59.0299987	58.9899987			AutoTrader_	Order update (Canceled). Info: Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20480146	CLG26	Close		2				0.00	37538597	20480146.32830	Good till Canceled	shimishon	Y
Orders	2026-01-19  21:59:28.172224	2026-01-19  21:59:30.000000	20526015	Market	2	Pending Open	3Q_sim14	Sell						Order update (Order update). Info: Trading Evaluator (New). Info: Order to flatten Position. Flatten Position for symbol where trading has ended | New order originated from external service | New order originated from external service	20481740	CLG26	Close		2				0.00	37545541		Day		N
Orders	2026-01-19  21:59:28.172252	2026-01-19  21:59:28.172250	20526015	Market	2	Open	3Q_sim14	Sell						Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted	20481740	CLG26	Close		2				0.00	37545541		Day		N
Orders	2026-01-19  21:59:28.172261	2026-01-19  21:59:28.172260	20526015	Market	2	Filled	3Q_sim14	Sell			58.9999987	2		Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.00 Ask: 59.85 Last: 59.44	20481740	CLG26	Close		2	37545541.1			0.00	37545541		Day		N
Positions	2026-01-19  21:59:28.172265	00:00:00.000000			2	Unspecified	3Q_sim14							Updated Internal Position Quantity to 0. Previous: 2. Fill of InternalOrderID: 20481740		CLG26							0.00					N
Fills	2026-01-19  21:59:28.172268	2026-01-19  18:56:31.000000	20526015	Market	2	Filled	3Q_sim14	Sell			58.9999987	2		Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.00 Ask: 59.85 Last: 59.44	20481740	CLG26	Close			37545541.1	59.6299973	58.9999987	0.00	37545541		Day		N
Positions	2026-01-19  21:59:28.172453	00:00:00.000000				Unspecified	3Q_sim14							Updated Service Position Quantity to 0		CLG26							0.00					N
Orders	2026-01-19  21:59:28.172480	2026-01-19  21:59:30.000000	20526016	Market	3	Pending Open	3Q_sim14	Sell						Order update (Order update). Info: Trading Evaluator (New). Info: Order to flatten Position. Flatten Position for symbol where trading has ended | New order originated from external service | New order originated from external service	20481741	CLN25	Close		3				0.00	37545542		Day		N
Orders	2026-01-19  21:59:28.172489	2026-01-19  21:59:28.172488	20526016	Market	3	Open	3Q_sim14	Sell						Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted	20481741	CLN25	Close		3				0.00	37545542		Day		N
Orders	2026-01-19  21:59:28.192925	2026-01-19  21:59:28.192924				Unspecified	3Q_sim14							CLG26 [CBV]  500 Volume #3 | User order entry | Unable to Flatten/Reverse. Position does not exist		CLG26							0.00			Day		Y
Positions	2026-01-19  21:59:36.303267	00:00:00.000000				Unspecified	3Q_sim14							Removing Position with quantity of 0		CLG26							0.00					N
Orders	2026-01-19  23:00:55.720215	2026-01-19  23:00:55.720211	20526016	Market	3	Pending Cancel	3Q_sim14	Sell						Order update (Order update). Info: Trading Evaluator (Order update). Info: Order is expired based on Time in Force	20481741	CLN25	Close		3				0.00	37545542		Day		N
Orders	2026-01-19  23:00:55.720223	2026-01-19  23:00:55.720222	20526016	Market	3	Canceled	3Q_sim14	Sell						Order update (Canceled). Info: Trading Evaluator (Canceled). Info: Simulated order canceled	20481741	CLN25	Close		3				0.00	37545542		Day		N
Positions	2026-01-19  23:12:26.300053	00:00:00.000000				Unspecified	3Q_sim14							Removing Position with quantity of 0		CLG26							0.00					N
Positions	2026-01-19  23:12:36.297293	00:00:00.000000				Unspecified	3Q_sim14							Removing Position with quantity of 0		CLG26							0.00					N
