ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2025-12-04  16:48:39.754997	2025-12-04  16:48:39.754977	19861822	Stop Limit	2	Open	IPS_TM_5dupli	Buy	59.8500000	59.8900000			AutoTrader_	Order update (Cancel/Replace complete). Info: Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817552	CLF26	Close		-2				0.00	36368018	19817552.89763	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:49:50.272556	2025-12-04  16:49:50.272542	19861822	Stop Limit	2	Filled	IPS_TM_5dupli	Buy	59.8500000	59.8900000	59.8499987	2	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.84 Ask: 59.85 Last: 59.85. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817552	CLF26	Close		-2	36368018.1			0.00	36368018	19817552.89763	Good till Canceled	shimishon	Y
Positions	2025-12-04  16:49:50.272577	00:00:00.000000			2	Unspecified	IPS_TM_5dupli							Updated Internal Position Quantity to 0. Previous: -2. Fill of InternalOrderID: 19817552		CLF26							0.00					N
Fills	2025-12-04  16:49:50.272580	2025-12-04  16:49:50.000000	19861822	Stop Limit	2	Filled	IPS_TM_5dupli	Buy	59.8500000	59.8900000	59.8499987	2	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.84 Ask: 59.85 Last: 59.85. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817552	CLF26	Close			36368018.1	59.8499987	59.7700005	0.00	36368018	19817552.89763	Good till Canceled	shimishon	Y
Positions	2025-12-04  16:49:50.272908	00:00:00.000000				Unspecified	IPS_TM_5dupli							Updated Service Position Quantity to 0		CLF26							0.00					N
Orders	2025-12-04  16:49:50.387128	2025-12-04  16:49:50.387125	19861615	Limit	1	Open	IPS_TM_5dupli	Buy	59.7599987				AutoTrader_	Initiating: Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-04  11:48:39.195	19817345	CLF26	Close						0.00	36367747	19817345.38830	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:49:50.387163	2025-12-04  16:49:50.387156	19861615	Limit	1	Pending Cancel	IPS_TM_5dupli	Buy	59.7599987				AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-04  11:48:39.195	19817345	CLF26	Close						0.00	36367747	19817345.38830	Good till Canceled		Y
Orders	2025-12-04  16:49:50.387228	2025-12-04  16:49:50.387225	19861616	Limit	1	Pending Cancel	IPS_TM_5dupli	Buy	54.3699988				AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-04  11:48:39.195	19817346	CLF26	Close						0.00	36367748	19817346.34240	Good till Canceled		Y
Orders	2025-12-04  16:49:50.639555	2025-12-04  16:49:50.639544	19861615	Limit	1	Canceled	IPS_TM_5dupli	Buy	59.7599987				AutoTrader_	Order update (Canceled). Info: Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817345	CLF26	Close						0.00	36367747	19817345.38830	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:49:50.639714	2025-12-04  16:49:50.639712	19861616	Limit	1	Canceled	IPS_TM_5dupli	Buy	54.3699988				AutoTrader_	Order update (Canceled). Info: Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817346	CLF26	Close						0.00	36367748	19817346.34240	Good till Canceled	shimishon	Y
