Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26	Short	2025-12-03  06:00:30.000	2025-12-03  07:54:39.000 EP	59.47	59.42	1	6	6	45.80	-2603.80	01:54:09	4.20	59.52	59.40	46.6%	IPS_TM_5dupli	0.0%	144.80 F	430.01	-290.01	70.00	-50.00	AutoTrader_	6.4%	6	0	0.00	-2840.20	236.40	-2840.20
CLF26	Long	2025-12-03  07:54:39.000 BP	2025-12-03  08:09:17.000 EP	59.42	59.31	2	2	2	-228.40	-2832.20	00:14:38	8.40	59.43	59.31	-3.5%	IPS_TM_5dupli	100.0%	-228.40 F	20.00	-220.00	20.00	-220.00	AutoTrader_	-95.2%	2	0	0.00	-2840.20	236.40	-2840.20
CLF26	Short	2025-12-03  08:09:17.000 BP	2025-12-03  08:11:58.000 EP	59.31	59.38	1	1	1	-74.20	-2906.40	00:02:41	4.20	59.38	59.31	-6.0%	IPS_TM_5dupli	0.0%	-74.20 F	0.00	-70.00	0.00	-70.00	AutoTrader_	-106.0%	1	0	0.00	-2906.40	236.40	-2906.40
CLF26	Long	2025-12-03  08:11:58.000 BP	2025-12-03  08:18:11.000	59.38	59.45	1	2	1	65.80	-2840.60	00:06:13	4.20	59.45	59.35	95.8%	IPS_TM_5dupli	100.0%	65.80	70.00	-30.00	70.00	-30.00	AutoTrader_	65.8%	2	1	0.00	-2906.40	236.40	-2906.40
CLF26	Long	2025-12-03  08:11:58.000	2025-12-03  08:20:31.000 EP	59.38	59.41	1	2	2	25.80	-2814.80	00:08:33	4.20	59.49	59.35	35.8%	IPS_TM_5dupli	100.0%	91.60 F	180.00	-60.00	110.00	-30.00	AutoTrader_	10.8%	2	0	0.00	-2906.40	236.40	-2906.40
CLF26	Short	2025-12-03  08:20:31.000 BP	2025-12-03  08:31:25.000	59.41	59.33	1	6	1	75.80	-2739.00	00:10:54	4.20	59.43	59.33	95.8%	IPS_TM_5dupli	0.0%	75.80	80.00	-20.00	80.00	-20.00	AutoTrader_	75.8%	1	5	0.00	-2906.40	236.40	-2906.40
CLF26	Short	2025-12-03  08:20:32.000	2025-12-03  08:32:51.000	59.40	59.39	2	6	3	11.60	-2727.40	00:12:19	8.40	59.43	59.33	30.5%	IPS_TM_5dupli	0.0%	87.40	220.00	-80.00	140.00	-60.00	AutoTrader_	3.9%	3	3	0.00	-2906.40	236.40	-2906.40
CLF26	Short	2025-12-03  08:20:32.000	2025-12-03  08:32:51.000 EP	59.40	59.39	3	6	6	17.40	-2710.00	00:12:19	12.60	59.43	59.33	31.2%	IPS_TM_5dupli	0.0%	104.80 F	430.00	-170.01	210.00	-90.00	AutoTrader_	2.9%	6	0	0.00	-2906.40	236.40	-2906.40
CLF26	Long	2025-12-03  08:32:51.000 BP	2025-12-03  08:37:23.000	59.39	59.32	1	4	1	-74.20	-2784.20	00:04:32	4.20	59.41	59.32	-4.7%	IPS_TM_5dupli	100.0%	-74.20	20.00	-70.00	20.00	-70.00	AutoTrader_	-82.4%	1	3	0.00	-2906.40	236.40	-2906.40
CLF26	Long	2025-12-03  08:32:51.000	2025-12-03  08:37:23.000	59.39	59.32	2	4	3	-148.40	-2932.60	00:04:32	8.40	59.41	59.32	22.8%	IPS_TM_5dupli	100.0%	-222.60	60.00	-210.00	40.00	-140.00	AutoTrader_	-55.0%	4	1	0.00	-2932.60	236.40	-2932.60
