account_name,symbol,base_symbol,trade_count,first_trade,last_trade
IPS_TM_6,FDAX,FDAX,9855,2024-05-31T08:35:58.016705,2026-07-17T15:15:24.021603
IPS_TM_6,NQ,NQ,5087,2024-03-03T23:23:03.871435,2026-07-12T23:46:06.270624
IPS_TM_6,ZB,ZB,161,2024-05-27T06:31:52.827983,2024-06-10T17:02:01.041657
IPS_TM_6,ZN,ZN,129,2024-05-27T01:37:42.357113,2024-06-30T23:19:04.374449
IPS_TM_7,CL,CL,4732,2024-05-27T07:01:01.388974,2026-07-17T19:54:22.613535
IPS_TM_7,FDAX,FDAX,4652,2024-05-31T08:35:58.283300,2025-04-04T12:22:20.740901
IPS_TM_7,NQ,NQ,12728,2024-03-03T23:23:03.871150,2026-07-17T19:54:48.993952
IPS_TM_7,ZB,ZB,176,2024-05-27T06:31:52.872507,2024-06-10T17:08:54.193550
IPS_TM_7,ZN,ZN,138,2024-05-27T01:37:42.428707,2024-06-30T23:14:27.435584
IPS_TM_8,CL,CL,1737,2024-05-27T22:55:14.299439,2025-04-06T23:43:37.901644
IPS_TM_8,FDAX,FDAX,37979,2024-06-13T08:06:33,2026-07-17T20:04:21.230107
IPS_TM_8,NQ,NQ,15953,2024-03-04T09:37:19.483469,2025-03-30T23:45:35.189790
IPS_TM_8,ZB,ZB,284,2024-05-27T00:27:29.264871,2024-06-30T23:44:58.271260
IPS_TM_8,ZN,ZN,178,2024-05-26T21:59:59.774289,2024-06-30T22:02:48.507360
Import,NQ,NQ,98,2024-05-15T12:30:00,2024-05-23T16:03:49
PB_1,CL,CL,1996,2024-05-27T06:45:23.899800,2025-06-30T22:26:14.318127
PB_1,FDAX,FDAX,22015,2024-05-31T08:41:17.151542,2026-07-17T18:06:56.069377
PB_1,NQ,NQ,3827,2024-04-10T18:52:24.141685,2024-08-04T23:57:46.472515
PB_1,ZB,ZB,308,2024-05-26T23:07:23.924138,2024-06-30T23:22:37.501600
PB_1,ZN,ZN,174,2024-05-26T21:59:59.370452,2024-06-30T22:09:13.246453
PB_2,CL,CL,5377,2024-05-27T00:11:10.422701,2026-07-17T19:54:49.362193
PB_2,FDAX,FDAX,14479,2024-05-31T08:35:58.282618,2025-04-04T11:52:15.897557
PB_2,NQ,NQ,2172,2024-05-03T14:05:07.119272,2024-07-14T22:27:24.608159
PB_2,ZB,ZB,322,2024-05-26T23:07:23.924662,2024-06-30T22:17:50.504232
PB_2,ZN,ZN,187,2024-05-26T21:59:59.370253,2024-06-30T22:07:42.295566
PB_3,CL,CL,35283,2024-05-27T00:11:10.482894,2026-07-17T19:49:49.892478
PB_3,FDAX,FDAX,11596,2024-06-13T08:46:54.090027,2025-04-04T11:51:27.262015
PB_3,NQ,NQ,2836,2024-05-03T14:13:08.998618,2025-03-30T23:45:35.124850
PB_3,ZB,ZB,397,2024-05-26T21:59:58.858555,2024-06-30T22:17:50.504316
PB_3,ZN,ZN,256,2024-05-26T21:59:59.370725,2024-06-30T22:07:42.296469
PB_4,NQ,NQ,1153,2024-05-03T14:13:09.087542,2024-05-24T02:11:29.910718
PB_5,NQ,NQ,514,2024-05-13T13:35:02.031491,2024-05-24T02:22:35.200152
PB_6,NQ,NQ,522,2024-05-13T13:35:01.947638,2024-05-24T03:49:29.932572
TM_1,CL,CL,1104,2024-05-27T08:52:06.257527,2026-07-17T18:36:53.536087
TM_1,FDAX,FDAX,3566,2024-05-31T08:18:06.260834,2025-04-04T11:55:28.515551
TM_1,NQ,NQ,5981,2024-03-08T14:55:00.945137,2026-07-17T19:30:41.701799
TM_1,ZB,ZB,185,2024-05-27T05:58:17.366043,2024-06-30T23:00:04.516509
TM_1,ZN,ZN,208,2024-05-28T00:31:17.514640,2024-06-30T23:55:24.749399
TM_10,CL,CL,241,2024-05-28T12:12:05.507913,2025-07-03T20:58:58.960953
TM_10,FDAX,FDAX,26306,2024-05-31T09:15:09.007502,2026-07-17T19:57:26.446823
TM_10,NQ,NQ,14661,2024-03-18T11:21:01.797451,2025-09-21T22:20:14.998644
TM_10,ZB,ZB,13,2024-06-05T11:54:56.361689,2024-06-06T13:32:54.876050
TM_10,ZN,ZN,13,2024-06-05T11:56:34.039981,2024-06-06T20:59:57.415369
TM_11,NQ,NQ,5153,2024-06-19T06:03:30.058453,2026-07-17T14:15:16.712953
TM_2,CL,CL,4779,2024-05-28T12:12:05.525880,2026-07-17T18:38:04.236635
TM_2,FDAX,FDAX,7239,2024-05-31T10:26:05.393330,2025-04-04T12:12:42.170148
TM_2,NQ,NQ,82837,2024-03-08T15:05:36.823608,2026-07-17T19:54:36.738356
TM_2,ZB,ZB,22,2024-05-31T00:43:31.612463,2024-06-07T20:59:59.854545
TM_2,ZN,ZN,23,2024-05-31T00:42:30.971719,2024-06-07T13:48:00.225518
TM_3,CL,CL,834,2024-05-27T07:01:01.495234,2026-07-12T22:01:28.205119
TM_3,FDAX,FDAX,9112,2024-05-31T08:35:58.184231,2026-07-17T15:44:29.355277
TM_3,NQ,NQ,4125,2024-03-08T15:38:28.438449,2026-07-12T22:55:55.827732
