Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Price, Sell Price, Sell Target1 Price, BuyTarget1 Price, Sell StopLoss Price, Buy StopLoss Price, Buy Entry, Sell Entry, ATR, Rotation Buy, Rotation Sell, BuyTarget2 Price, BuyTarget3 Price, Sell Target2 Price, Sell Target3 Price, Poly Regression Buy, Poly Regression Sell, Auto Trader Buy Subgraph, Auto Trader Sell Subgraph, BuyTarget4 Price, BuyTarget5 Price, BuyTarget6 Price, Sell Target4 Price, Sell Target5 Price, Sell Target6 Price, Target 1 Price, Target 2 Price, Target 3 Price, Target 4 Price, Target 5 Price, Target 6 Price, Trades +2 STD, Trades -2 STD, Trades +1 STD, Trades -1 STD, UpDownRatio +2 STD, UpDownRatio -2 STD, UpDownRatio +1 STD, UpDownRatio -1 STD, DeltaRatio +1 STD, DeltaRatio +2 STD, DeltaRatio -1 STD, DeltaRatio -2 STD, Ask Bid Trade Ratio +1 STD, Ask Bid Trade Ratio +2 STD, Ask Bid Trade Ratio -1 STD, Ask Bid Trade Ratio -2 STD
2026-7-23, 09:38:50.411002, 28782.50, 28808.00, 28779.25, 28799.25, 1000, 933, 28792.25, 28795.50, 28793.63, 496, 504, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:39:13.124003, 28799.25, 28803.75, 28779.25, 28788.75, 1000, 974, 28792.75, 28790.58, 28791.50, 555, 445, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28805.75, 0.00
2026-7-23, 09:39:49.332000, 28789.50, 28820.00, 28785.00, 28816.25, 1000, 914, 28802.69, 28807.08, 28802.50, 431, 569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28783.60, 0.00, 28783.20, 0.00, 0.00, 0.00, 28783.00, 0.00, 0.00, 0.00
2026-7-23, 09:40:08.442000, 28815.75, 28824.25, 28806.25, 28816.50, 1000, 898, 28815.69, 28815.67, 28815.25, 474, 526, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:40:31.386013, 28816.50, 28826.00, 28808.25, 28825.25, 1000, 945, 28819.00, 28819.83, 28817.13, 475, 525, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:41:06.692000, 28825.00, 28831.25, 28811.75, 28830.00, 1000, 916, 28824.50, 28824.33, 28821.50, 454, 546, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:41:31.217002, 28830.00, 28835.00, 28814.50, 28835.00, 1000, 892, 28828.63, 28828.17, 28824.75, 455, 545, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:42:08.658002, 28835.00, 28849.00, 28835.00, 28847.50, 1000, 846, 28841.63, 28843.83, 28842.00, 454, 546, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28833.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:42:26.260009, 28847.50, 28863.75, 28847.50, 28860.00, 1000, 896, 28854.69, 28857.08, 28855.63, 450, 550, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28846.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:42:45.539003, 28860.00, 28869.25, 28858.50, 28869.25, 1000, 826, 28864.25, 28865.67, 28863.88, 523, 477, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
