=== SECTION 1: BAR SIGNAL LIST (from GraphData) ===
Date,Bar_Time_NY,Direction,Open,High,Low,Close,Entry_Price,Target1_Price,Stop_Loss_Price,Bar_Volume_1000,Bid_Volume,Ask_Volume,Auto_Executed
2026-6-11,08:33:11.522002,SELL,28985.25,28987.25,28959.5,28960.25,28985.25,28985.0,29048.5,1000,518,482,YES
2026-6-11,08:33:47.223001,SELL,28960.25,28976.25,28942.75,28942.75,28959.5,28959.25,28987.5,1000,515,485,YES
2026-6-11,08:34:31.360001,SELL,28942.75,28992.5,28930.25,28976.5,28942.75,28942.5,28976.5,1000,511,489,YES
2026-6-11,08:41:36.329000,SELL,29049.5,29054.75,29000.75,29010.5,29013.75,29013.5,29069.0,1000,586,414,YES
2026-6-11,08:48:13.848007,SELL,29079.25,29087.75,29060.75,29078.5,29067.5,29067.25,29096.5,1000,476,524,YES
2026-6-11,09:00:08.035000,SELL,29103.25,29104.75,29067.75,29069.75,29079.75,29079.5,29120.5,1000,595,405,YES
2026-6-11,09:01:37.761001,SELL,29069.75,29097.0,29065.5,29080.25,29067.75,29067.5,29105.0,1000,520,480,YES
2026-6-11,09:05:15.039000,SELL,29081.25,29086.75,29058.75,29058.75,29065.5,29065.25,29097.25,1000,567,433,YES
2026-6-11,09:09:23.457000,SELL,29057.75,29080.25,29049.25,29070.0,29058.75,29058.5,29087.0,1000,433,567,YES
2026-6-11,09:22:27.508000,SELL,29078.0,29089.0,29055.0,29063.75,29057.0,29056.75,29079.0,1000,515,485,YES
2026-6-11,09:26:50.086000,SELL,29064.0,29076.5,29053.75,29060.5,29055.0,29054.75,29089.25,1000,516,484,YES
2026-6-11,09:29:16.382000,SELL,29060.5,29061.75,29031.5,29051.5,29053.75,29053.5,29076.75,1000,512,488,YES
2026-6-11,09:30:00.001000,SELL,29045.25,29069.0,29006.25,29046.25,29045.75,29045.5,29052.0,1000,535,465,YES
2026-6-11,09:34:23.067001,SELL,28972.5,28991.0,28963.75,28991.0,28968.0,28967.75,29011.25,1000,427,573,YES
2026-6-11,09:38:37.549000,SELL,29001.25,29006.5,28959.0,28961.0,28996.0,28995.75,29048.5,1000,641,359,YES
2026-6-11,09:39:02.850001,SELL,28961.5,29001.5,28955.5,28980.75,28959.0,28958.75,29006.75,1000,421,579,YES
2026-6-11,09:43:55.621014,BUY,29041.75,29059.5,29030.5,29059.5,29041.75,0.25,29041.5,1000,451,549,YES
2026-6-11,09:45:18.364000,BUY,29079.75,29095.0,29044.25,29050.25,29083.25,0.25,29083.0,1000,510,490,YES
2026-6-11,09:46:18.098000,BUY,29129.25,29162.75,29115.75,29159.5,29132.25,0.25,29132.0,1000,438,562,YES
2026-6-11,09:46:37.611000,SELL,29167.25,29180.5,29152.0,29157.0,29153.5,29153.25,29181.75,1000,490,510,YES
2026-6-11,09:49:46.266011,SELL,29122.0,29140.0,29104.25,29139.25,29120.25,29120.0,29162.25,1000,526,474,YES
2026-6-11,09:52:24.441000,SELL,29240.75,29268.75,29226.25,29267.25,29234.5,29234.25,29259.75,1000,484,516,YES
2026-6-11,09:54:30.541001,SELL,29286.75,29290.75,29255.75,29260.25,29273.25,29273.0,29309.75,1000,603,397,YES
2026-6-11,09:56:15.260002,SELL,29282.0,29284.75,29256.0,29258.0,29270.5,29270.25,29302.75,1000,573,427,YES
2026-6-11,09:57:00.867001,SELL,29258.25,29258.5,29233.75,29237.75,29256.0,29255.75,29285.0,1000,553,447,YES
2026-6-11,09:57:25.993006,SELL,29237.75,29239.25,29193.75,29193.75,29233.75,29233.5,29258.75,1000,624,376,YES
2026-6-11,09:57:55.435023,SELL,29193.75,29228.25,29190.75,29223.75,29193.75,29193.5,29239.5,1000,510,490,YES
2026-6-11,09:59:24.309000,SELL,29212.5,29215.25,29167.75,29173.75,29209.0,29208.75,29237.25,1000,635,365,YES
2026-6-11,10:02:01.024001,SELL,29320.25,29327.5,29297.25,29315.25,29312.25,29312.0,29336.75,1000,527,473,YES
2026-6-11,10:02:30.205000,SELL,29315.75,29322.25,29296.25,29307.5,29297.25,29297.0,29327.75,1000,447,553,YES
2026-6-11,10:03:16.663003,SELL,29307.75,29320.75,29293.5,29307.0,29296.25,29296.0,29322.5,1000,515,485,YES
2026-6-11,10:05:00.722002,SELL,29318.75,29326.5,29284.5,29298.75,29305.0,29304.75,29342.5,1000,560,440,YES
2026-6-11,10:05:37.989000,SELL,29299.5,29307.25,29267.5,29293.25,29284.5,29284.25,29326.75,1000,520,480,YES
2026-6-11,10:07:20.860002,SELL,29283.75,29318.0,29271.75,29296.75,29284.0,29283.75,29313.0,1000,522,478,YES
2026-6-11,10:09:14.404008,SELL,29278.25,29279.25,29243.75,29261.75,29273.0,29272.75,29309.0,1000,584,416,YES
2026-6-11,10:09:44.586003,SELL,29261.75,29271.75,29228.75,29234.25,29243.75,29243.5,29279.5,1000,581,419,YES
2026-6-11,10:10:31.163000,SELL,29234.25,29245.25,29183.25,29183.25,29228.75,29228.5,29272.0,1000,599,401,YES
2026-6-11,10:10:59.147016,SELL,29183.25,29195.0,29143.5,29146.25,29183.25,29183.0,29245.5,1000,580,420,YES
2026-6-11,10:12:21.245000,SELL,29210.75,29211.25,29155.5,29166.25,29178.75,29178.5,29216.75,1000,612,388,YES
2026-6-11,10:12:58.221001,SELL,29166.5,29183.5,29147.75,29150.25,29155.5,29155.25,29211.5,1000,470,530,YES
2026-6-11,10:13:43.710000,SELL,29150.25,29171.25,29132.0,29132.0,29147.75,29147.5,29183.75,1000,632,368,YES
2026-6-11,10:14:20.760003,SELL,29132.0,29155.0,29120.0,29137.25,29132.0,29131.75,29171.5,1000,551,449,YES
2026-6-11,10:16:10.525003,SELL,29150.75,29151.0,29095.5,29095.5,29138.25,29138.0,29175.0,1000,709,291,YES
2026-6-11,10:16:32.921028,SELL,29095.25,29114.5,29077.5,29077.5,29095.5,29095.25,29151.25,1000,575,425,YES
2026-6-11,10:16:58.596003,SELL,29077.25,29102.75,29069.5,29102.75,29077.5,29077.25,29114.75,1000,392,608,YES
2026-6-11,10:17:12.630002,BUY,29102.75,29135.75,29091.25,29121.25,29102.75,0.25,29102.5,1000,453,547,YES
2026-6-11,10:17:45.351000,SELL,29120.75,29120.75,29062.0,29065.0,29091.25,29091.0,29136.0,1000,612,388,YES
2026-6-11,10:18:24.410003,SELL,29064.75,29087.0,29052.75,29056.0,29062.0,29061.75,29121.0,1000,581,419,YES
2026-6-11,10:18:56.713001,SELL,29056.0,29075.0,29048.5,29075.0,29052.75,29052.5,29087.25,1000,406,594,YES
2026-6-11,10:19:32.263006,SELL,29075.25,29083.5,29045.25,29052.0,29048.5,29048.25,29075.25,1000,585,415,YES
2026-6-11,10:21:19.914000,SELL,29091.75,29112.75,29076.75,29112.75,29087.75,29087.5,29115.75,1000,499,501,YES
2026-6-11,10:23:55.267000,SELL,29198.75,29204.0,29168.5,29190.75,29182.25,29182.0,29208.0,1000,534,466,YES
2026-6-11,10:25:33.784000,SELL,29201.25,29223.0,29167.75,29178.0,29172.75,29172.5,29213.75,1000,535,465,YES
2026-6-11,10:26:17.639000,SELL,29179.75,29191.0,29132.25,29143.75,29167.75,29167.5,29223.25,1000,664,336,YES
2026-6-11,10:26:46.751007,SELL,29143.75,29158.5,29120.75,29136.5,29132.25,29132.0,29191.25,1000,502,498,YES
2026-6-11,10:27:48.227000,SELL,29139.5,29148.25,29084.5,29098.0,29120.75,29120.5,29158.75,1000,573,427,YES
2026-6-11,10:30:10.740000,SELL,29177.75,29192.75,29131.5,29140.25,29153.0,29152.75,29186.75,1000,606,394,YES
2026-6-11,10:30:53.260000,SELL,29139.25,29142.0,29114.25,29131.75,29131.5,29131.25,29193.0,1000,535,465,YES
2026-6-11,10:32:04.164000,SELL,29132.0,29158.75,29097.5,29102.75,29114.25,29114.0,29142.25,1000,610,390,YES
2026-6-11,10:32:51.123002,SELL,29102.75,29137.25,29091.25,29136.75,29097.5,29097.25,29159.0,1000,471,529,YES
2026-6-11,10:35:44.490002,BUY,29167.75,29201.0,29166.0,29189.25,29167.75,0.25,29167.5,1000,393,607,YES
2026-6-11,10:36:57.708036,SELL,29236.0,29236.75,29157.25,29161.0,29188.5,29188.25,29236.25,1000,604,396,YES
2026-6-11,10:37:36.726000,SELL,29161.0,29176.5,29126.75,29159.25,29157.25,29157.0,29237.0,1000,573,427,YES
2026-6-11,10:39:07.321000,SELL,29171.0,29187.75,29154.25,29181.5,29155.25,29155.0,29201.25,1000,517,483,YES
2026-6-11,10:43:08.478000,SELL,29206.75,29207.25,29142.75,29142.75,29168.5,29168.25,29207.75,1000,603,397,YES
2026-6-11,10:44:13.062005,SELL,29142.75,29157.5,29109.0,29118.75,29142.75,29142.5,29207.5,1000,551,449,YES
2026-6-11,10:45:03.033001,SELL,29118.75,29137.25,29098.75,29098.75,29109.0,29108.75,29157.75,1000,554,446,YES
2026-6-11,10:45:39.239008,SELL,29098.5,29136.75,29093.0,29101.25,29098.75,29098.5,29137.5,1000,506,494,YES
2026-6-11,10:46:37.061000,SELL,29101.5,29121.0,29079.25,29121.0,29093.0,29092.75,29137.0,1000,520,480,YES
2026-6-11,10:47:22.513002,SELL,29121.0,29124.0,29068.75,29073.5,29079.25,29079.0,29121.25,1000,578,422,YES
2026-6-11,10:48:08.691000,SELL,29074.0,29112.75,29058.25,29103.75,29068.75,29068.5,29124.25,1000,407,593,YES
2026-6-11,10:49:51.263000,SELL,29077.75,29090.0,29050.75,29062.75,29077.0,29076.75,29123.0,1000,498,502,YES
2026-6-11,10:50:24.588003,SELL,29062.75,29084.25,29050.0,29068.25,29050.75,29050.5,29090.25,1000,431,569,YES
2026-6-11,10:52:54.760002,SELL,29058.0,29084.5,29035.75,29050.0,29053.25,29053.0,29102.75,1000,549,451,YES
2026-6-11,10:53:58.881000,SELL,29049.25,29066.5,29035.5,29053.5,29035.75,29035.5,29084.75,1000,445,555,YES
2026-6-11,10:55:00.233000,SELL,29052.25,29053.5,29002.75,29005.0,29035.5,29035.25,29066.75,1000,622,378,YES
2026-6-11,10:55:41.476000,SELL,29006.25,29007.5,28980.5,28995.5,29002.75,29002.5,29053.75,1000,532,468,YES
2026-6-11,10:56:07.532002,SELL,28995.5,29007.75,28956.5,28959.5,28980.5,28980.25,29007.75,1000,533,467,YES
2026-6-11,10:56:42.714002,SELL,28959.5,28981.25,28953.0,28966.25,28956.5,28956.25,29008.0,1000,419,581,YES
2026-6-11,10:57:26.683000,SELL,28965.25,28975.25,28946.25,28969.75,28953.0,28952.75,28981.5,1000,537,463,YES
2026-6-11,10:58:00.285000,BUY,28970.0,28992.5,28959.0,28959.0,28975.25,0.25,28975.0,1000,448,552,YES
2026-6-11,10:58:40.406000,SELL,28960.5,28968.25,28920.0,28922.0,28959.0,28958.75,28992.75,1000,548,452,YES
2026-6-11,10:58:51.192000,SELL,28920.75,28926.5,28900.25,28917.75,28920.0,28919.75,28968.5,1000,402,598,YES
2026-6-11,10:59:35.510006,SELL,28940.5,28947.25,28903.75,28912.5,28911.0,28910.75,28946.25,1000,661,339,YES
2026-6-11,11:00:10.188000,SELL,28913.0,28940.25,28901.75,28939.5,28903.75,28903.5,28947.5,1000,485,515,YES
2026-6-11,11:00:31.784028,BUY,28939.5,28941.25,28893.25,28896.0,28940.25,0.25,28940.0,1000,593,407,YES
2026-6-11,11:01:01.595000,SELL,28897.0,28911.25,28892.75,28904.0,28893.25,28893.0,28941.5,1000,617,383,YES
2026-6-11,11:01:24.982005,SELL,28892.75,28900.0,28871.75,28872.75,28892.75,28892.5,28909.0,1000,619,381,YES
2026-6-11,11:01:42.601002,SELL,28872.0,28923.75,28870.25,28916.75,28871.75,28871.5,28900.25,1000,440,560,YES
2026-6-11,11:04:23.517003,SELL,28982.75,28992.0,28955.75,28959.25,28959.25,28959.0,28988.25,1000,535,465,YES
2026-6-11,11:05:07.061000,SELL,28960.0,28974.5,28936.25,28939.5,28955.75,28955.5,28992.25,1000,520,480,YES
2026-6-11,11:05:58.707001,SELL,28939.5,28972.75,28933.75,28962.5,28936.25,28936.0,28974.75,1000,409,591,YES
2026-6-11,11:07:53.451000,BUY,29030.75,29050.25,29009.5,29009.5,29037.75,0.25,29037.5,1000,527,473,YES
2026-6-11,11:08:30.228002,SELL,29009.25,29041.0,28996.5,29038.5,29009.5,29009.25,29050.5,1000,494,506,YES
2026-6-11,11:14:01.946000,SELL,29078.25,29079.75,29045.75,29070.5,29054.0,29053.75,29088.0,1000,495,505,YES
2026-6-11,11:15:34.960008,BUY,29091.75,29117.75,29090.5,29100.25,29091.75,0.25,29091.5,1000,222,778,YES
2026-6-11,11:15:41.809000,BUY,29098.25,29132.25,29097.75,29115.0,29117.75,0.25,29117.5,1000,455,545,YES
2026-6-11,11:17:11.318000,SELL,29102.75,29115.5,29083.25,29094.0,29097.75,29097.5,29126.75,1000,592,408,YES
2026-6-11,11:18:02.577000,SELL,29094.75,29101.75,29041.75,29053.25,29083.25,29083.0,29115.75,1000,580,420,YES
2026-6-11,11:21:55.718000,SELL,29119.25,29132.75,29094.75,29105.5,29112.75,29112.5,29151.75,1000,556,444,YES
2026-6-11,11:23:08.555002,SELL,29105.5,29116.5,29077.5,29103.75,29094.75,29094.5,29133.0,1000,455,545,YES
2026-6-11,11:25:29.083009,SELL,29099.0,29140.75,29093.0,29139.5,29095.5,29095.25,29135.5,1000,411,589,YES
2026-6-11,11:27:49.773000,SELL,29114.25,29123.25,29063.5,29070.0,29099.25,29099.0,29147.75,1000,620,380,YES
2026-6-11,11:28:47.179000,SELL,29069.5,29073.25,29043.25,29054.75,29063.5,29063.25,29123.5,1000,643,357,YES
2026-6-11,11:30:20.845001,SELL,29060.75,29086.75,29040.75,29040.75,29044.75,29044.5,29074.0,1000,551,449,YES
2026-6-11,11:31:07.732002,SELL,29040.75,29077.0,29033.75,29063.5,29040.75,29040.5,29087.0,1000,531,469,YES
2026-6-11,11:32:59.080000,SELL,29091.5,29093.25,29056.0,29076.25,29057.75,29057.5,29107.25,1000,552,448,YES
2026-6-11,11:38:04.482000,SELL,29159.0,29181.25,29132.25,29181.25,29140.75,29140.5,29172.0,1000,499,501,YES
2026-6-11,11:41:01.804000,SELL,29185.0,29186.25,29156.75,29175.75,29159.0,29158.75,29200.25,1000,568,432,YES
2026-6-11,11:42:36.637001,SELL,29175.5,29182.25,29129.0,29132.25,29156.75,29156.5,29186.5,1000,618,382,YES
2026-6-11,11:43:48.023000,SELL,29132.5,29134.25,29084.5,29105.5,29129.0,29128.75,29182.5,1000,502,498,YES
2026-6-11,11:44:47.395000,SELL,29105.75,29123.5,29080.5,29100.75,29084.5,29084.25,29134.5,1000,478,522,YES
2026-6-11,11:48:07.842001,SELL,29147.25,29148.25,29112.75,29123.5,29126.25,29126.0,29164.5,1000,536,464,YES
2026-6-11,11:49:43.518001,SELL,29123.5,29128.75,29102.75,29115.0,29112.75,29112.5,29148.5,1000,521,479,YES
