account,days,total_raw_fills,total_ghosts,ghost_rate_pct,bypass_days,dirty_net,clean_net,pnl_delta,flagged_days,flag_rate_pct
TM_D-R-1_1,513,67961,204,0.3,1,-313390.0,-372720.0,-59330.0,130,25.3
ES-TS_2,538,32165,529,1.645,3,-26500.0,22537.5,49037.5,212,39.4
ES-IPS_TM_7,513,11260,224,1.989,4,8412.5,-38112.5,-46525.0,123,24.0
V500_sim13,84,2158,453,20.992,78,-27027.5,19252.5,46280.0,75,89.3
ES-TM_3,520,14527,294,2.024,1,-58637.5,-103112.5,-44475.0,151,29.0
V500_sim7,57,616,201,32.63,57,-2460.0,-46695.0,-44235.0,51,89.5
V500_sim8,19,1359,445,32.745,19,-3775.0,-46755.0,-42980.0,19,100.0
TM_11,418,9911,178,1.796,0,215.0,-36980.0,-37195.0,110,26.3
A_sim15,87,10912,3850,35.282,87,-62735.0,-25690.0,37045.0,64,73.6
ES-IPS_TM_3,527,14707,285,1.938,1,-51830.0,-86167.5,-34337.5,144,27.3
ES-IPS_TM_10,55,4713,66,1.4,0,-45200.0,-76137.5,-30937.5,19,34.5
A_production_14_16_19,19,1077,371,34.448,19,-19565.0,-50320.0,-30755.0,18,94.7
A_production_19,18,380,133,35.0,18,-7910.0,18880.0,26790.0,16,88.9
V500_sim9,19,364,122,33.516,19,-6230.0,20315.0,26545.0,18,94.7
ES-TM_1,567,34996,14667,41.911,567,17625.0,-8512.5,-26137.5,532,93.8
ES-TS_7,398,2787,14,0.502,3,-27900.0,-5762.5,22137.5,12,3.0
A_sim19,25,949,32,3.372,25,1310.0,-20650.0,-21960.0,10,40.0
A_sim8,19,353,119,33.711,19,-1340.0,18445.0,19785.0,13,68.4
Import,7,166,64,38.554,7,2905.0,-12410.0,-15315.0,7,100.0
3Q_sim10,154,1295,80,6.178,1,-27330.0,-41850.0,-14520.0,45,29.2
ES-IPSPB1,39,604,6,0.993,0,-8087.5,-20687.5,-12600.0,4,10.3
A_sim16,28,1277,118,9.24,28,-7100.0,4850.0,11950.0,10,35.7
A_production_16,18,295,104,35.254,18,-2310.0,-13270.0,-10960.0,16,88.9
CL-TS_6,1,400,12,3.0,0,-22450.0,-11880.0,10570.0,1,100.0
IPS_TM_2,1,95,35,36.842,1,-2620.0,6930.0,9550.0,1,100.0
ES-TM_6,537,16109,278,1.726,1,-38850.0,-47675.0,-8825.0,136,25.3
ES-IPS_TM_6,537,15997,273,1.707,1,10262.5,18375.0,8112.5,140,26.1
CL-TS_4,1,330,7,2.121,0,-11440.0,-3840.0,7600.0,1,100.0
sachin_,14,72,37,51.389,14,-200.0,5880.0,6080.0,11,78.6
V_sim7,8,178,3,1.685,0,-488310.0,-494260.0,-5950.0,2,25.0
ES-IPSMUD1,46,934,3,0.321,0,-8250.0,-13362.5,-5112.5,2,4.3
CL-TS_5,1,327,4,1.223,0,-14010.0,-9030.0,4980.0,1,100.0
TM_4,1,7,4,57.143,1,-1725.0,0.0,1725.0,1,100.0
IPS_TM_9,1,5,3,60.0,1,-975.0,0.0,975.0,1,100.0
CL-TS_2,1,155,4,2.581,0,-910.0,-320.0,590.0,1,100.0
A_sim13,21,451,157,34.812,21,-2805.0,-3385.0,-580.0,15,71.4
3Q_sim8,20,1091,0,0.0,20,2005.0,2005.0,0.0,0,0.0
3Q_sim9,16,81,0,0.0,16,-190.0,-190.0,0.0,0,0.0
A_sim10,58,771,0,0.0,58,-3995.0,-3995.0,0.0,0,0.0
A_sim7,61,1179,0,0.0,61,-4425.0,-4425.0,0.0,0,0.0
A_sim9,16,77,0,0.0,16,-285.0,-285.0,0.0,0,0.0
CL-TS_3,1,59,0,0.0,0,1590.0,1590.0,0.0,0,0.0
CL-TS_7,1,11,0,0.0,0,800.0,800.0,0.0,0,0.0
IPS_TM_4,1,6,0,0.0,0,-1380.0,-1380.0,0.0,0,0.0
PB_4,19,1973,0,0.0,0,-2615.0,-2615.0,0.0,0,0.0
PB_5,10,900,0,0.0,0,-29645.0,-29645.0,0.0,0,0.0
