Database_Source,Account_Name,Symbol,Trade_ID,Entry_Time_NY,Exit_Time_NY,Side,Entry_Price,Exit_Price,Quantity,Profit_Loss_USD,Duration_Minutes,Hour_of_Day_NY,Day_of_Week
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T4cb9e9a7505d,2024-07-08T07:30:53.310486,2024-07-08T07:38:23.508272,LONG,18651.0,18661.0,6,1500.0,7,3,0
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Te3355a8a8075,2024-07-09T05:39:06.014166,2024-07-09T05:39:06.338721,SHORT,18623.0,18626.0,6,-450.0,0,1,1
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T372a358eedb2,2024-07-09T06:47:36.473868,2024-07-09T06:53:16.677856,LONG,18590.0,18581.0,6,-1350.0,5,2,1
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Tc4419c57fe63,2024-07-09T08:59:13.634166,2024-07-09T09:27:34.921384,LONG,18593.0,18594.0,4,100.0,28,4,1
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T79af1c69dcab,2024-07-09T11:44:21.561612,2024-07-09T12:01:03.960399,LONG,18530.0,18530.0,4,0.0,16,7,1
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T0955ff4946ec,2024-07-09T13:33:25.632555,2024-07-09T13:40:46.766892,SHORT,18461.0,18484.0,6,-3450.0,7,9,1
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Tb1f6b0cd941c,2024-07-11T08:05:07.418954,2024-07-11T08:16:07.924265,SHORT,18608.0,18607.0,4,100.0,11,4,3
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Td3e4df6536d5,2024-07-11T12:45:15.314404,2024-07-11T12:45:16.663730,LONG,18660.0,18654.0,6,-900.0,0,8,3
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T89b761f79042,2024-07-11T13:00:14.188362,2024-07-11T13:00:31.743002,LONG,18638.0,18631.0,6,-1050.0,0,9,3
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,T11dda268e2c0,2024-07-12T19:59:01.725217,2024-07-12T20:09:59.106822,LONG,18867.0,18866.0,6,-150.0,10,15,4
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Te35ae544529d,2024-07-15T06:01:49.694776,2024-07-15T08:22:00.077112,LONG,18851.0,18852.0,4,100.0,140,2,0
Pre_Fix_DB (processed_trades_backup_pre_ghost_fix),TM_10,FDAX,Tcee175abf9ab,2024-07-15T17:12:13.181988,2024-07-15T17:16:16.481622,LONG,18716.0,18692.0,6,-3600.0,4,13,0
