account,date,total_raw_fills,ghost_fills_dropped,bypass_mode_active,note_coverage_rate,dirty_trades,dirty_net,dirty_wins,clean_trades,clean_net,clean_wins,pnl_delta,pnl_delta_pct,flagged_for_review,flag_reason
IPS_TM_13,2024-08-05,20,0,0,1.0,11,-11050.0,5,11,-11050.0,5,0.0,0.0,0,
IPS_TM_3,2024-08-05,81,0,0,1.0,49,-9850.0,34,49,-9850.0,34,0.0,0.0,0,
IPS_TM_5,2024-08-05,430,0,0,0.886,257,-20250.0,143,257,-20250.0,143,0.0,0.0,0,
IPS_TM_5dupli,2024-08-05,248,0,0,0.786,149,-48725.0,68,149,-48725.0,68,0.0,0.0,0,
IPS_TM_6,2024-08-05,65,0,0,0.969,40,-6750.0,25,40,-6750.0,25,0.0,0.0,0,
IPS_TM_7,2024-08-05,92,0,0,1.0,56,-11850.0,40,56,-11850.0,40,0.0,0.0,0,
IPS_TM_8,2024-08-05,462,0,0,0.898,316,-3725.0,171,316,-3725.0,171,0.0,0.0,0,
PB_1,2024-08-05,242,0,0,0.756,135,-21800.0,60,135,-21800.0,60,0.0,0.0,0,
PB_2,2024-08-05,362,0,0,0.807,212,-15425.0,114,212,-15425.0,114,0.0,0.0,0,
PB_3,2024-08-05,332,0,0,0.994,179,-4350.0,82,179,-4350.0,82,0.0,0.0,0,
T-S_production,2024-08-05,644,101,0,0.593,513,-10325.0,263,434,-186687.5,165,-176362.5,17.0811,1,"delta=-176,362 (1708% of dirty_net)"
TM_1,2024-08-05,86,38,1,0.0,48,-9650.0,21,23,42475.0,18,52125.0,5.4016,1,"delta=+52,125 (540% of dirty_net)"
TM_10,2024-08-05,155,61,1,0.0,96,-20225.0,49,72,5800.0,33,26025.0,1.2868,1,"delta=+26,025 (129% of dirty_net)"
TM_2,2024-08-05,197,75,1,0.0,122,-26200.0,69,72,43500.0,47,69700.0,2.6603,1,"delta=+69,700 (266% of dirty_net)"
TM_3,2024-08-05,81,0,0,1.0,49,-9850.0,34,49,-9850.0,34,0.0,0.0,0,
TM_5,2024-08-05,492,0,0,0.785,344,-74025.0,151,344,-74025.0,151,0.0,0.0,0,
TM_6,2024-08-05,65,0,0,0.969,40,-8125.0,25,40,-8125.0,25,0.0,0.0,0,
TM_7,2024-08-05,158,0,0,0.93,100,-13075.0,62,100,-13075.0,62,0.0,0.0,0,
TM_8,2024-08-05,423,0,0,0.792,247,-71450.0,127,247,-71450.0,127,0.0,0.0,0,
TM_9,2024-08-05,203,87,1,0.0,118,-57650.0,52,52,5925.0,30,63575.0,1.1028,1,"delta=+63,575 (110% of dirty_net)"
TM_D-R-1_2,2024-08-05,179,2,0,0.933,124,234135.0,93,121,263990.0,81,29855.0,0.1275,0,
TS_2,2024-08-05,60,0,0,0.9,39,-8325.0,25,39,-8325.0,25,0.0,0.0,0,
TS_4,2024-08-05,152,0,0,0.934,97,-21025.0,59,97,-21025.0,59,0.0,0.0,0,
TS_5,2024-08-05,204,0,0,0.995,110,-26350.0,52,110,-26350.0,52,0.0,0.0,0,
TS_6,2024-08-05,161,0,0,0.975,99,-28375.0,67,99,-28375.0,67,0.0,0.0,0,
