
========== Verifying Case: 3Q_sim14 (Jan 19-20) ==========
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-19_UTC.3Q_sim14.data
  Loaded 169 candidate prices from Binary windows (Total Records Searched: 82).
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-20_UTC.3Q_sim14.data
  Loaded 211 candidate prices from Binary windows (Total Records Searched: 92).
Parsing TEXT file: 3q_sim14_01192026_TradesList.txt
  Loaded 6 trades from Text.
  Total Text Trades: 6

  --- Matching Results ---
  Time                 | Price      | Symbol     | Status          | Binary Match
  2025-12-03 12:12:10  | 59.09      | CLF26      | MATCHED         | Bin found @ 59.11
  2025-12-03 12:12:10  | 59.09      | CLF26      | MATCHED         | Bin found @ 59.08
  2025-12-03 12:29:28  | 59.39      | CLF26      | MATCHED         | Bin found @ 59.39
  2025-12-03 12:29:28  | 59.39      | CLF26      | MATCHED         | Bin found @ 59.39
  2025-12-03 13:11:50  | 59.22      | CLF26      | MATCHED         | Bin found @ 59.24
  2025-12-03 13:11:50  | 59.22      | CLF26      | MATCHED         | Bin found @ 59.24
  2025-12-03 13:22:56  | 59.28      | CLF26      | MATCHED         | Bin found @ 59.30
  2025-12-03 13:26:54  | 59.25      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-03 13:31:53  | 59.18      | CLF26      | MATCHED         | Bin found @ 59.17
  2025-12-03 13:35:46  | 59.11      | CLF26      | MATCHED         | Bin found @ 59.13
  2025-12-03 13:35:46  | 59.11      | CLF26      | MATCHED         | Bin found @ 59.13
  2025-12-03 13:46:20  | 59.14      | CLF26      | MATCHED         | Bin found @ 59.13
  2025-12-03 14:07:03  | 59.06      | CLF26      | MATCHED         | Bin found @ 59.05
  2025-12-03 14:18:55  | 58.99      | CLF26      | MATCHED         | Bin found @ 58.99
  2025-12-03 14:20:36  | 59.03      | CLF26      | MATCHED         | Bin found @ 59.03
  2025-12-03 14:23:12  | 58.96      | CLF26      | MATCHED         | Bin found @ 58.97
  2025-12-03 14:24:50  | 58.97      | CLF26      | MATCHED         | Bin found @ 58.97
  2025-12-03 14:25:22  | 58.92      | CLF26      | MATCHED         | Bin found @ 58.94
  2025-12-03 14:25:56  | 58.99      | CLF26      | MATCHED         | Bin found @ 58.99
  2025-12-03 14:30:44  | 58.89      | CLF26      | MATCHED         | Bin found @ 58.89
  2025-12-03 14:31:34  | 58.89      | CLF26      | MATCHED         | Bin found @ 58.89
  2025-12-03 14:31:34  | 58.89      | CLF26      | MATCHED         | Bin found @ 58.89
  2025-12-03 15:00:11  | 58.94      | CLF26      | MATCHED         | Bin found @ 58.94
  2025-12-03 15:00:11  | 58.94      | CLF26      | MATCHED         | Bin found @ 58.94
  2025-12-03 15:00:11  | 58.94      | CLF26      | MATCHED         | Bin found @ 58.94
